,"Кол-во организаций предоставивших отчет, ед.","Общ. Объем израсходованных денежных средств по всем видам деятельности, тыс. руб",Расходы по финансированию долгосрочных инвестиций,Долгосрочные инвестиции по обычным видам деятельности,Расходы на финансирование затрат по капитальным вложениям,Расходы на создание и преобретение программного обеспечеия ЭВМ,Расходы на научно-исследовательские и опытные конструкторские работы,"Расходы обслуживающих производств и хозяйств, состоящих на балансе",Текущие расходы на содержание объектов санаторно-курортных учреждений,Текущие расходы на содержание садов и яслей,"Текущие расходы на содержание пансионатов, домов отдыха, детских лагерей",Текущие расоды на содержание объектов физкультурно-оздоровительной деятельности,Текущие расходы на содержание объектов образования,Текущие расходы на содержание учреждений клубного типа,Расходы на предоставление услуг лечебных санаторно-курортных учреждений,Оплата сторонних организаций по предоставлению услуг лечебных и санаторно-курортных учреждений,"Расходы по предоставлению услуг пансионатов домов отдыха, детских лагерей",Расходы по предоставлению услуг физкультурно-оздоровительной деятельности,Оплата сторонних организаций по предоставлению услуг физкультурно-оздоровительной деятельности,Расходы по предоставлению услуг образования,Оплата сторонних организаций по предоставлению услуг образования,Оплата сторонних организаций по предоставлению услуг учреждениям клубного типа,Выплаты социального характера работникам,"Надбавки к пенсиям, единовременные пособия уходящим на пенсию",Благотворительные цели,"перечислено обособленным структурным подразделениям, имеющим отдельный баланс и расчетный счет",Представительские расходы,Оплата услуг банков и других финансово кредитных учреждений,Оплата услуг рекламных агенств и аудиторских организаций,Отчисления в отраслевые и межотраслевые внебюджетные фонды научно-исследовательских и опытно-конструкторских работ
Всего по Российской Федерации,84448,433885739673,48904707993,36947777742,13356237399,274112661,202334566,247310250,25702162,2268367,8168265,12012189,2771470,3446454,15180812,5801158,6994252,1825461,5561383,1922377,4418663,2216300,2533918,564443,247906212,25956140,324667759,9780344033,26312058,409664022
"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",4178,6561195626,731842699,628887675,504811198,438359,31323,4211105,57399,71011,732325,261532,8391,41499,63289,13526,25358,9889,25048,10385,7732,4663,11454,1773,2378283,195143,4200834,2338059,724760,9651739
"  растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",3715,5728826340,617089145,531427012,421582511,361347,16632,3977790,56415,71011,719056,166924,2005,34627,62662,12899,489,-,15529,5840,5311,3073,873,703,2146901,171666,3549073,1480705,690305,8587316
   лесоводство и лесозаготовки,209,175514491,12693781,11177114,10935372,2872,12493,15217,-,-,-,403,-,-,627,627,-,-,-,-,2084,1590,-,-,51529,2523,58077,323,8522,315175
   рыболовство и рыбоводство,254,656854795,102059773,86283549,72293315,74140,2198,218098,984,-,13269,94205,6386,6872,-,-,24869,9889,9519,4545,337,-,10581,1070,179853,20954,593684,857031,25933,749248
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,1611,32511812733,5297428744,4435786899,3014923472,5572760,3313902,39243708,4242980,920647,564698,2224912,78862,1542063,2706934,485104,1088589,235462,1059934,308918,386119,132167,581940,225764,37324169,6481667,39262689,55522167,554944,19985291
  добыча угля,177,2752431573,165684098,155276501,146857909,360063,18479,3742989,83678,-,38771,116179,40114,62,194546,92305,34600,17781,77604,2666,46818,14837,-,-,3291139,1018048,5188304,7760,47114,1381930
   добыча нефти и природного газа,293,19923952134,3836358686,3288106572,2096966511,3416001,1712576,30153410,3802018,920647,378795,1728814,7849,1406859,1872563,336738,836577,164805,703628,290878,151421,58905,396992,215082,19268453,3961631,21693127,45734259,171011,12633066
   добыча металлических руд,350,4622807018,812581745,531158458,361114897,1131928,1275681,3074219,146012,-,60050,89605,11620,31984,189827,11389,159639,40851,37139,7075,112915,11206,-,-,2699903,277032,5560075,1906827,93970,2187307
   добыча прочих полезных ископаемых,374,1389591476,73893215,72119746,64197094,80201,178212,1870176,209905,-,74551,264728,438,102166,440037,34711,34223,11214,234614,7327,406,273,183982,10682,2591348,271532,4595005,184254,52146,662112
 ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,12079,91949522978,8345563945,4747795726,2990633072,60457828,108536241,91297481,3917526,707232,3280551,2680924,165666,925932,4348827,1496709,1913594,639252,1377248,475399,985870,800993,280002,87875,51290792,4739787,62536095,244725414,5716314,61302394
   производство пищевых продуктов,2165,10844341921,471127133,442071294,354054416,1227265,357380,2840790,37442,156,7744,25232,8191,1364,63303,22239,2223,1646,5693,5693,81351,7448,8899,8899,2377997,81134,1881780,10423909,457015,5975648
   производство напитков,303,1266061017,60279169,55659428,40717659,669588,-,163109,4334,-,-,47712,71,-,5256,2437,-,-,324,324,7919,6963,-,-,1184080,15071,916874,1533585,244055,1141535
   производство табачных изделий,14,549243507,16432622,16279361,16276511,2850,-,31309,-,-,96,-,-,-,20702,20702,-,-,1181,1181,9330,9330,-,-,432823,245,2225,-,23866,222817
   производство текстильных изделий,191,315413353,13364220,10702731,8951502,81251,145634,138898,4586,-,-,-,-,-,2135,2119,-,-,-,-,-,-,-,-,134298,1990,40322,5733,16487,503928
  производство одежды,170,367459123,4105083,3798385,3521832,35187,42885,46716,282,-,-,3,-,-,1895,1549,8095,8094,422,422,1358,1316,-,-,34737,1874,497128,238947,24816,1048357
   производство кожи и изделий из кожи,71,61779264,1873294,1777464,1376543,6633,-,56962,5401,-,-,1656,-,-,-,-,-,-,-,-,-,-,-,-,47603,1207,24537,-,7703,74273
"   обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",379,1224205362,167174150,133234387,76680693,70036,14224,227118,20630,-,1554,36931,-,13839,29701,3756,-,-,6028,1138,4608,4599,-,-,384967,41284,888903,15013359,39992,1491063
   производство бумаги и бумажных изделий,274,1547933531,188971191,138873252,119286254,429621,5172,1223269,90850,-,-,34242,40461,5763,253975,39757,-,-,8823,7335,4824,4824,5219,3505,1499985,56913,1649599,2078821,190421,1350217
   деятельность полиграфическая и копирование носителей информации,239,250130564,7981074,6861856,6267371,134009,28384,2617227,794,-,2127,391,-,-,1178,82,-,-,-,-,50,-,-,-,440149,3039,96044,15009374,28053,259307
   производство кокса и нефтепродуктов,124,27030840412,3907367368,1587608670,645619239,19322912,4904897,2333687,549831,410016,195463,46873,18708,11680,200484,25369,223996,70619,168736,17882,47358,9455,22680,-,6410789,751195,15559054,213492,114083,6664188
       производство кокса,7,329377917,8812889,8812889,2672732,29008,2148,91336,2,-,9892,804,-,-,34603,-,16002,-,2930,-,-,-,-,-,46627,12880,76808,-,1189,108625
       производство нефтепродуктов,117,26701462495,3898554479,1578795781,642946507,19293904,4902749,2242351,549829,410016,185571,46069,18708,11680,165881,25369,207994,70619,165806,17882,47358,9455,22680,-,6364162,738315,15482246,213492,112894,6555563
   производство химических веществ и химических продуктов,666,6718614149,876666929,652478590,583726263,1775887,2504613,4059881,841655,7097,372314,489446,23048,47547,362506,45251,103843,20678,74822,19943,36002,17202,10847,931,6719293,702053,6369916,65273443,508546,11018334
"   производство лекарственных средств и материалов, применяемых в медицинских целях",229,1571753579,94545878,72916086,51975404,1649886,12388005,27762868,6326,21990,28189,979,-,5566,7566,7566,-,-,329,-,6303,5933,1818,-,1103132,34588,1292621,1210479,336837,1212538
   производство резиновых и пластмассовых изделий,598,1697432757,88046641,85720137,53571198,358262,552192,5181623,16762,-,1709,6726,223,723,19565,5216,629,629,2861,404,3194,2746,-,-,526175,77665,351437,28437381,281155,1713204
   производство прочей неметаллической минеральной продукции,996,2303014556,169044125,130150545,111667494,668100,397667,4422245,114380,-,67944,81994,6460,8556,400412,293273,20559,10436,65231,10677,39306,31268,10046,2401,1904436,113807,1173117,10023839,429941,1895209
   производство металлургическое,447,15019618082,946384002,646476218,426130308,22921558,5760638,8735106,683126,-,715499,615311,324,319952,586421,80674,546294,155757,445136,79981,10868,2109,37445,14406,8077934,1466001,27129607,21687464,350786,7800831
"   производство готовых металлических изделий, кроме машин и оборудования",1081,3436063023,179625199,129153423,103976641,1318673,6544222,7188959,441395,72481,287393,437332,20346,64292,504979,69047,272323,26305,68324,12120,21337,13718,34315,5015,3483932,346808,1025235,15475341,442076,3737147
"   производство компьютеров, электронных и оптических изделий",729,2107154502,124710936,113014608,74318722,3484271,9513646,10427008,284031,26400,249618,268760,17279,34253,378538,102478,161592,37012,65389,9849,18946,15990,27049,1147,2446370,222495,560409,2073385,370095,1943103
  производство электрического оборудования,553,1575233353,44366763,40809707,21588190,379193,1783486,1051440,33944,-,90714,36451,753,165,111905,43309,37605,10055,5617,72,557162,554707,776,82,909790,33268,292215,3298383,244967,1208593
"   производство машин и оборудования, не включенных в другие группировки",893,2323100771,114620464,77692749,51444721,735988,1890812,2129076,231737,-,94246,59818,-,22714,43903,24884,20613,8245,18462,2349,21768,18803,3632,-,1723971,103287,759200,14021550,312480,4063650
